"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number"
"Aminoacyl-tRNA biosynthesis","66","20","16","33.73","0.0076288","0.025449","0.0071815","64","0.64","P0"
"Taurine and hypotaurine metabolism","6","5","5","3.0664","0.03527","0.20246","0.011406","0","0","P1"
"Tyrosine metabolism","25","13","9","12.777","0.1537","0.32072","0.015759","75","0.75","P2"
"Phenylalanine metabolism","8","4","4","4.0885","0.068999","0.33066","0.016204","0","0","P3"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","2.0442","0.068999","0.33066","0.016204","0","0","P4"
"Arginine and proline metabolism","28","15","10","14.31","0.17456","0.33667","0.016479","52","0.52","P5"
"Pyrimidine metabolism","40","33","19","20.442","0.29062","0.41687","0.020728","0","0","P6"
"Histidine metabolism","8","3","3","4.0885","0.13484","0.51835","0.028091","0","0","P7"
"Ubiquinone and other terpenoid-quinone biosynthesis","5","5","4","2.5553","0.20392","0.52296","0.028494","0","0","P8"
"D-Glutamine and D-glutamate metabolism","5","5","4","2.5553","0.20392","0.52296","0.028494","59","0.59","P9"
"Alanine, aspartate and glutamate metabolism","20","15","9","10.221","0.33989","0.53865","0.029919","67","0.67","P10"
"Pentose phosphate pathway","18","14","8","9.1991","0.43428","0.64115","0.041766","26","0.26","P11"
"Glycerophospholipid metabolism","24","10","6","12.265","0.40964","0.65355","0.043576","34","0.34","P12"
"Pentose and glucuronate interconversions","9","8","5","4.5996","0.39231","0.66381","0.04515","0","0","P13"
"Valine, leucine and isoleucine biosynthesis","13","8","5","6.6438","0.39231","0.66381","0.04515","62","0.62","P14"
"beta-Alanine metabolism","12","8","5","6.1327","0.39231","0.66381","0.04515","0","0","P15"
"Vitamin B6 metabolism","8","6","4","4.0885","0.36861","0.67945","0.047698","57","0.57","P16"
"Pantothenate and CoA biosynthesis","8","6","4","4.0885","0.36861","0.67945","0.047698","0","0","P17"
"Glycine, serine and threonine metabolism","22","11","6","11.243","0.53625","0.75381","0.062864","34","0.34","P18"
"Ascorbate and aldarate metabolism","6","5","3","3.0664","0.52504","0.8281","0.085869","0","0","P19"
"Nitrogen metabolism","9","5","3","4.5996","0.52504","0.8281","0.085869","77","0.77","P20"
"Glutathione metabolism","25","12","6","12.777","0.64932","0.83055","0.086836","6","0.06","P21"
"Terpenoid backbone biosynthesis","10","10","5","5.1106","0.65622","0.84881","0.094603","0","0","P22"
"Cysteine and methionine metabolism","26","15","7","13.288","0.73375","0.87244","0.10648","69","0.69","P23"
"D-Arginine and D-ornithine metabolism","4","3","2","2.0442","0.52002","0.88435","0.11346","88","0.88","P24"
"Thiamine metabolism","5","3","2","2.5553","0.52002","0.88435","0.11346","0","0","P25"
"Tryptophan metabolism","29","13","6","14.821","0.74361","0.88655","0.11484","85","0.85","P26"
"Nicotinate and nicotinamide metabolism","9","6","3","4.5996","0.68148","0.90242","0.12575","0","0","P27"
"Glycerolipid metabolism","9","4","2","4.5996","0.70767","0.94379","0.16656","36","0.36","P28"
"Riboflavin metabolism","10","4","2","5.1106","0.70767","0.94379","0.16656","0","0","P29"
"Retinol metabolism","8","4","2","4.0885","0.70767","0.94379","0.16656","0","0","P30"
"Glyoxylate and dicarboxylate metabolism","10","9","3","5.1106","0.92363","0.98408","0.25906","17","0.17","P31"
"Citrate cycle (TCA cycle)","20","12","4","10.221","0.9403","0.98487","0.26269","46","0.46","P32"
"Starch and sucrose metabolism","19","12","4","9.7102","0.9403","0.98487","0.26269","17","0.17","P33"
"Butanoate metabolism","19","12","4","9.7102","0.9403","0.98487","0.26269","51","0.51","P34"
"Sulfur metabolism","7","6","2","3.5774","0.90338","0.98677","0.2721","46","0.46","P35"
"Lysine degradation","16","7","2","8.177","0.94647","0.99359","0.32147","27","0.27","P36"
"Inositol phosphate metabolism","22","11","3","11.243","0.97395","0.99553","0.34493","74","0.74","P37"
"Amino sugar and nucleotide sugar metabolism","27","20","6","13.799","0.98546","0.99602","0.35235","8","0.08","P38"
"Valine, leucine and isoleucine degradation","38","15","4","19.42","0.98704","0.99739","0.37858","45","0.45","P39"
"Galactose metabolism","13","12","3","6.6438","0.98516","0.99766","0.38521","17","0.17","P40"
"Glycolysis or Gluconeogenesis","25","17","4","12.777","0.99565","0.99923","0.44882","31","0.31","P41"
"Pyruvate metabolism","18","10","2","9.1991","0.99168","0.99928","0.45211","3","0.03","P42"
"Fructose and mannose metabolism","20","14","3","10.221","0.99538","0.99937","0.45983","70","0.7","P43"
"Propanoate metabolism","19","12","2","9.7102","0.99772","0.99983","0.52544","0","0","P44"
"Purine metabolism","54","37","10","27.597","0.99941","0.99983","0.52562","0","0","P45"
"Fatty acid biosynthesis","37","3","1","18.909","0.88514","1","1","0","0","P46"
"Fatty acid elongation in mitochondria","27","3","1","13.799","0.88514","1","1","0","0","P47"
"Fatty acid metabolism","39","5","1","19.931","0.97302","1","1","0","0","P48"
"Selenoamino acid metabolism","17","3","1","8.6881","0.88514","1","1","0","0","P49"
"Cyanoamino acid metabolism","10","4","1","5.1106","0.9443","1","1","86","0.86","P50"
"Polyketide sugar unit biosynthesis","3","2","1","1.5332","0.76343","1","1","0","0","P51"
"Arachidonic acid metabolism","12","4","1","6.1327","0.9443","1","1","14","0.14","P52"
"Methane metabolism","9","7","1","4.5996","0.99369","1","1","83","0.83","P53"
"Folate biosynthesis","14","7","1","7.1549","0.99369","1","1","21","0.21","P54"
"Porphyrin and chlorophyll metabolism","11","3","1","5.6217","0.88514","1","1","0","0","P55"
